turno,oro_imp0,oro_imp1,oro_imp2,poblacion_total,provincias_imp0,provincias_imp1,provincias_imp2
0,2000.0,2000.0,2000.0,80000,3,3,3
1,1256.0,2360.0,2340.0,83282,3,3,3
2,858.6399999999999,2242.4,2702.1,86667,3,3,3
3,1083.1,2647.88,3087.0,90156,3,3,3
4,1330.06,3077.1400000000003,3495.4,93753,3,3,3
5,1000.24,3530.9000000000005,3928.02,97456,3,3,3
6,1413.3400000000001,4086.8600000000006,4385.58,101263,3,3,3
7,1857.0600000000002,4668.72,4868.76,105177,4,2,3
8,2070.38,4531.42,5378.280000000001,109197,4,2,3
9,1515.08,4412.1,5914.840000000001,113322,4,2,3
10,1425.6,4811.22,6479.140000000001,117552,4,2,3
11,1946.3799999999999,5271.24,7071.880000000001,121883,5,1,3
12,1658.1,5457.82,7693.740000000001,126316,5,1,3
13,1713.4,5653.679999999999,8345.400000000001,130845,5,1,3
14,2494.34,5859.039999999999,9027.500000000002,135472,5,1,3
15,2787.0,6074.139999999999,9740.680000000002,140193,5,1,3
16,2181.42,6299.2,10485.560000000001,145007,6,0,3
17,2053.36,6299.2,11262.760000000002,149909,6,0,3
18,2323.44,6299.2,12072.860000000002,154895,6,0,3
19,2667.28,6299.2,12916.420000000002,159960,6,0,3
20,3570.4400000000005,6299.2,13843.460000000003,165100,6,0,3
21,4535.9400000000005,6299.2,14804.960000000003,170312,6,0,3
22,5547.740000000001,6299.2,15870.900000000003,175592,7,0,2
23,7039.640000000001,6299.2,16562.340000000004,180931,7,0,2
24,8615.640000000001,6299.2,17277.460000000003,186326,8,0,1
25,5962.360000000001,6299.2,17615.760000000002,191770,8,0,1
26,6343.300000000001,6299.2,17966.22,197255,8,0,1
27,7571.700000000001,6299.2,18328.920000000002,202778,8,0,1
28,8298.240000000002,6299.2,18703.940000000002,208330,8,0,1
29,9273.440000000002,6299.2,19091.340000000004,213908,9,0,0
