semilla,turno_final,ganador,politica_ganador,n_combates,n_conquistas
1183128861,201,,,7,4
978483555,27,0,EXPANSIVO,10,6
861629977,201,,,9,5
40454335,201,,,8,4
1839977173,30,0,EXPANSIVO,10,6
15970779,201,,,4,2
1399048017,42,0,EXPANSIVO,15,6
284266679,201,,,5,3
1506576269,21,0,EXPANSIVO,10,6
1401192787,201,,,7,3
126291849,201,,,9,5
1347149743,27,0,EXPANSIVO,9,6
306715461,24,0,EXPANSIVO,10,6
1065404363,201,,,7,3
475276993,28,0,EXPANSIVO,7,6
1506940327,25,0,EXPANSIVO,8,6
1304129021,34,0,EXPANSIVO,9,6
1241539907,29,0,EXPANSIVO,8,6
1163259129,45,0,EXPANSIVO,11,6
473567903,25,0,EXPANSIVO,7,6
494886837,201,,,6,5
1194801595,37,0,EXPANSIVO,9,6
9650737,201,,,6,5
722843287,32,0,EXPANSIVO,14,6
153669741,35,0,EXPANSIVO,13,6
569713971,201,,,8,5
1779369577,201,,,6,5
2119360911,201,,,13,5
436772901,23,0,EXPANSIVO,9,6
321259435,201,,,8,5
2135431585,201,,,9,5
565932935,201,,,8,5
1454091997,28,0,EXPANSIVO,7,6
1230094627,201,,,6,2
1387879385,39,0,EXPANSIVO,9,6
1416973439,20,0,EXPANSIVO,7,6
777706645,32,0,EXPANSIVO,10,6
1847707,201,,,6,5
794406161,201,,,10,5
411192439,40,0,EXPANSIVO,13,6
